2026-03-23 19:15:07 [warning  ] Bundled web UI not mounted; build directory missing expected_paths=['C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\app\\static\\ui', 'C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\NarrarrUI\\build\\web']
INFO:     127.0.0.1:17517 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:17517 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:33602 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:33602 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:33674 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:33602 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "GET /api/auth/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "OPTIONS /api/setup HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "GET /api/setup HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:49985 - "OPTIONS /api/settings/prowlarr HTTP/1.1" 200 OK
INFO:     127.0.0.1:24276 - "OPTIONS /api/settings/download-client HTTP/1.1" 200 OK
INFO:     127.0.0.1:48290 - "OPTIONS /api/settings/media-management HTTP/1.1" 200 OK
INFO:     127.0.0.1:2805 - "OPTIONS /api/settings/audiobookshelf HTTP/1.1" 200 OK
INFO:     127.0.0.1:17517 - "GET /api/auth/status HTTP/1.1" 200 OK
2026-03-23 21:57:18 [info     ] Fetching indexers from Prowlarr url=http://192.168.1.141:9696/api/v1/indexer
INFO:     127.0.0.1:24276 - "GET /api/settings/audiobookshelf HTTP/1.1" 200 OK
INFO:     127.0.0.1:48290 - "GET /api/settings/download-client HTTP/1.1" 200 OK
INFO:     127.0.0.1:2805 - "GET /api/settings/media-management HTTP/1.1" 200 OK
2026-03-23 21:57:18 [info     ] Successfully fetched indexers from Prowlarr count=29
INFO:     127.0.0.1:4312 - "GET /api/settings/prowlarr HTTP/1.1" 200 OK
INFO:     127.0.0.1:11501 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:18806 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:3204 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:18806 - "GET /api/auth/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:18806 - "GET /api/setup HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:20425 - "GET /api/settings/prowlarr HTTP/1.1" 200 OK
INFO:     127.0.0.1:23833 - "GET /api/settings/audiobookshelf HTTP/1.1" 200 OK
INFO:     127.0.0.1:18806 - "GET /api/auth/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:36674 - "GET /api/settings/download-client HTTP/1.1" 200 OK
INFO:     127.0.0.1:35757 - "GET /api/settings/media-management HTTP/1.1" 200 OK
INFO:     127.0.0.1:2109 - "GET /api/settings/prowlarr HTTP/1.1" 200 OK
INFO:     127.0.0.1:51882 - "GET /api/settings/audiobookshelf HTTP/1.1" 200 OK
INFO:     127.0.0.1:22965 - "GET /api/auth/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:20942 - "GET /api/settings/media-management HTTP/1.1" 200 OK
INFO:     127.0.0.1:25393 - "GET /api/settings/download-client HTTP/1.1" 200 OK
